Name,Role,Topic
title ='Unit Testing Principles, Practices, and Patterns', date ='Jan 14, 2020', prize ='$47.49'}
title ='Selenium Automation Tester Job Interview Questions & Answers-2020: Winning The Selenium Automation Testing Interview', date ='Jul 3, 2020', prize ='$0.00'}
title ='Continuous Delivery: Reliable Software Releases through Build, Test, and Deployment Automation (Addison-Wesley Signature Series (Fowler))', date ='Aug 6, 2010', prize ='$31.12'}
title ='Practical Security Automation and Testing: Tools and techniques for automated security scanning and testing in DevSecOps', date ='Feb 4, 2019', prize ='$39.99'}
title ='Learn Testing in 1 Day: Definitive Guide to Learn Software Testing for Beginners', date ='May 16, 2017', prize ='$0.00'}
title ='Software Automation Testing Secrets Revealed: Revised Edition - Part 1', date ='Oct 20, 2017', prize ='$35.00'}
title ='Software Automation Testing Secrets Revealed Part 2 Selenium Webdriver: Mastering Web Automated Testing -Use of Selenium with Practical Answers to Testing Interview Questions', date ='Nov 20, 2016', prize ='$35.00'}
title ='Selenium Framework Design in Data-Driven Testing: Build data-driven test frameworks using Selenium WebDriver, AppiumDriver, Java, and TestNG', date ='Jan 23, 2018', prize ='$44.99'}
title ='Lessons Learned in Software Testing: A Context-Driven Approach', date ='Dec 31, 2001', prize ='$29.88'}
title ='Selenium WebDriver automation tool training with Java code and programs, eclipse, TestNG, POM framework, Practical Guide, Tips and Tricks, example test case, step by step tutorial: Automation Testing', date ='Jul 23, 2017', prize ='$0.00'}
title ='Just Enough Software Test Automation (Just Enough (Yourdon Press))', date ='Jul 25, 2002', prize ='$49.99'}
title ='Complete Guide to Test Automation: Techniques, Practices, and Patterns for Building and Maintaining Effective Software Projects', date ='Sep 23, 2018', prize ='$24.99'}
title ='Software Testing Automation Tips: 50 Things Automation Engineers Should Know', date ='Oct 27, 2017', prize ='$7.09'}
title ='Testing IT: An Off-the-Shelf Software Testing Process', date ='May 7, 2001', prize ='$15.30'}
title ='Experiences of Test Automation: Case Studies of Software Test Automation', date ='Jan 19, 2012', prize ='$47.99'}
title ='Instant Approach to Software Testing: Principles, Applications, Techniques, and Practices (English Edition)', date ='Oct 14, 2019', prize ='$24.95'}
title ='Software Test Automation', date ='Jul 8, 1999', prize ='$919.00'}
title ='Advanced Selenium Web Accessibility Testing: Software Automation Testing Secrets Revealed', date ='Mar 27, 2019', prize ='$16.17'}
